publication_title;abstract;doi;data received from unpaywall;no paywall;pdf url
Flexible estimation of serial correlation in nonlinear mixed models;In the conventional linear mixed-effects model, four structures can be distinguished: fixed effects, random effects, measurement error and serial correlation. The latter captures the phenomenon that the correlation structure within a subject depends on the time lag between two measurements. While the general linear mixed model is rather flexible, the need has arisen to further increase flexibility. In addition to work done in the area, we propose the use of spline-based modeling of the serial correlation function, so as to allow for additional flexibility. This approach is applied to data from a pre-clinical experiment in dementia which studied the eating and drinking behavior in mice.;https://doi.org/10.1080/02664760902914425;yes;VRAI;https://documentserver.uhasselt.be//bitstream/1942/11050/1/serial15%5b1%5d.pdf
Modified atomic scattering amplitudes and size effects on the 002 and 220 electron structure factors of multiple $Ga_{1-x}In_{x}As/GaAs$ quantum wells;"The modified atomic scattering amplitudes (MASAs) of mixed Ga<sub>1-x</sub>In<sub>x</sub>As, GaAs<sub>1-x</sub>N<sub>x</sub>, and InAs<sub>1-x</sub>N<sub>x</sub> are calculated using the density functional theory approach and the results are compared with those of the binary counterparts. The MASAs of N, Ga, As, and In for various scattering vectors in various chemical environments and in the zinc-blende structure are compared with the frequently used Doyle and Turner values. Deviation from the Doyle and Turner results is found for small scattering vectors (s&lt;0.3 Ã…<sup>-1</sup>) and for these scattering vectors the MASAs are found to be sensitive to the orientation of the scattering vector and on the chemical environment. The chemical environment sensitive MASAs are used within zero pressure classical Metropolis Monte Carlo, finite temperature calculations to investigate the effect of well size on the electron 002 and 220 structure factors (SFs). The implications of the use of the 002 (200) spot for the quantification of nanostructured Ga<sub>1-x</sub>In<sub>x</sub>As systems are examined while the 220 SF across the well is evaluated and is found to be very sensitive to the in-plane static displacements.";https://doi.org/10.1063/1.3115407;yes;FAUX;
Algorithm 895: a continued fractions package for special functions;"The continued fractions for special functions package (in the sequel abbreviated as CFSF package) complements a systematic study of continued fraction representations for special functions. It provides all the functionality to create continued fractions, in particular k-periodic or limit k-periodic fractions, to compute approximants, make use of continued fraction tails, perform equivalence transformations and contractions, and much more. The package, developed in Maple, includes a library of more than 200 representations of special functions, of which only 10&amp;percnt; can be found in the 1964 NBS Handbook of Mathematical Functions with Formulas, Graphs and Mathematical Tables by M. Abramowitz and I. Stegun.";https://doi.org/10.1145/1527286.1527289;yes;FAUX;
Oral health screening;"Background The aim of this study was to investigate the feasibility and reliability of the Oral Health Assessment Tool (OHAT) as used by speech pathologists, to become part of a comprehensive clinical swallowing examination. Methods A multicentre study in 132 elderly subjects was conducted by speech pathologists. The inter-rater, testretest and intra-rater reliabilities of the OHAT were assessed in R statistics, version 3.0.1. Intraclass correlation coefficients (ICCs) were used for the total OHAT, and Kappa statistics were used for the individual categories. Results Total OHAT scores showed good inter-rater (ICC &#61; 0.96), intra-rater (ICC â‰¥ 0.95) and testretest (ICC â‰¥ 0.78) agreement. The inter-rater Kappa statistics were almost perfect (Îº â‰¥ 0.83) for seven of the eight individual categories of the OHAT and perfect for dental pain (Îº &#61; 1.00). The testretest Kappa statistics indicated excellent agreement for natural teeth and dentures (Îº â‰¥ 0.86). The intra-rater per cent agreement was excellent for all categories except gums and tissues. Conclusions This is the first study to examine the feasibility and reliability of the OHAT as used by speech pathologists. As the results showed both good feasibility and reliability, the OHAT has the potential to add to the clinical swallowing examination. However, future research investigating actual referral strategies and adaptation of care strategies following assessment with OHAT is needed.";https://doi.org/10.1111/idj.12220;yes;FAUX;
Le thÃ©Ã¢tre du rÃ©el: une nouvelle vague flamande entre fiction et non-fiction;"Il y a plus d&#39;une vingtaine d&#39;annÃ©es, une gÃ©nÃ©ration d&#39;artistes flamands ont redÃ©fini les formes et les esthÃ©tiques et mÃªme revu les limites du thÃ©Ã¢tre occidental. Ces artistes expÃ©rimentaux, identifiÃ©s sur la scÃ¨ne internationale comme les figures de proue de la Â« vague flamande Â», occupent aujourd&#39;hui des positions clÃ©s dans les maisons de thÃ©Ã¢tre et les compagnies internationales. Cet article remet en question cette notion d&#39;une Â« vague Â» dominante et prÃ©fÃ¨re distinguer diffÃ©rentes vagues et vaguelettes successives dans l&#39;hÃ©tÃ©rogÃ¨ne scÃ¨ne thÃ©Ã¢trale de Flandre. Une premiÃ¨re partie de l&#39;article repose sur la rÃ©ception critique du thÃ©Ã¢tre flamand des annÃ©es 1980. Une deuxiÃ¨me Ã©tudie les pratiques de certains jeunes crÃ©ateurs flamands contemporains qui, tout comme leurs prÃ©dÃ©cesseurs influents, sont Ã  la recherche d&#39;un langage thÃ©Ã¢tral qui leur est propre. AncrÃ©s dans la rÃ©alitÃ© historique, sociale et politique, les projets de Elly Van Eeghem, de Thomas Bellinck et des frÃ¨res Ben Chikha tentent de nouer des rapports explicites avec cette rÃ©alitÃ© en privilÃ©giant le dialogue entre fiction et non-fiction. Ainsi, cet article prÃ©sente deux gÃ©nÃ©rations de crÃ©ateurs de thÃ©Ã¢tre en Flandre dont l&#39;esthÃ©tique et le rapport au rÃ©el diffÃ¨rent fondamentalement.";https://doi.org/10.7202/1038325ar;yes;FAUX;
Melamineformaldehyde microcapsules;A systematic study has been carried out to compare the surface morphology, shell thickness, mechanical properties, and binding behavior of melamineformaldehyde microcapsules of 530 Î¼m diameter size with various amounts of core content by using scanning and transmission electron microscopy including electron tomography, in situ nanomechanical tensile testing, and electron energy-loss spectroscopy. It is found that porosities are present on the outside surface of the capsule shell, but not on the inner surface of the shell. Nanomechanical tensile tests on the capsule shells reveal that Youngs modulus of the shell material is higher than that of bulk melamineformaldehyde and that the shells exhibit a larger fracture strain compared with the bulk. Core-loss elemental analysis of microcapsules embedded in epoxy indicates that during the curing process, the microcapsule-matrix interface remains uniform and the epoxy matrix penetrates into the surface micro-porosities of the capsule shells.;https://doi.org/10.1017/s1431927616012484;yes;FAUX;
Oscillatory persistent currents in quantum rings: semiconductors versus superconductors;Persistent currents are a hallmark of superconductivity in metals. To observe those dissipationless currents in a non-superconducting ring, the circumference of the ring must be short enough so that the phase coherence of the electronic wave functions is preserved around the loop. Recent progress in the fabrication of self-assembled semiconductor quantum rings (SAQRs), which can be filled with only a few (12) electrons, has offered the unique possibility to study the magnetic-field-induced oscillations in the persistent current carried by a single electron. In this paper, we discuss similarities and distinctions between the behavior of persistent currents in semiconductor and superconductor samples and give an overview of the recent results for oscillatory persistent currents in SAQRs. Although the real SAQR shape differs strongly from an idealized circular-symmetric open ring structure, the AharonovBohm oscillations of the magnetization survive, as observed in low temperature magnetization measurements on InxGa1âˆ’xAs/GaAs SAQRs.;https://doi.org/10.1016/j.physc.2010.02.036;yes;FAUX;
The endovascular treatment of epistaxis;Epistaxis or nosebleed is relatively common in the general population. Depending on the location of the bleeding in the nasal cavity, epistaxis can be divided in two types: anterior or posterior type. The anterior type is far more frequent, often self-limiting and, if needed, is relatively easy treatable. Posterior type epistaxis is rare and more likely to require medical attention. The cornerstone of the conservative therapy of posterior epistaxis is nasal packing. Only in patients with persistent or recurrent epistaxis, endovascular intervention or surgery is indicated. Both treatment options have a similar success and complication rate, but endovascular treatment, if feasible, has several advantages above surgical treatment. The choice of procedure should be made on a patient-to-patient basis, taking several parameters into account. In this pictorial essay we present an overview of the relevant radiological anatomy and a review of various causes of epistaxis, with the emphasis on the endovascular treatment.;https://doi.org/10.5334/jbr-btr.954;yes;FAUX;
"Negative magnetoresistance in a $V^{3&#43;}/V^{4&#43;}$ mixed valent vanadate";The magnetotransport and magnetic properties of the PbV6O11 vanadate, crystallizing in the P63mc space group, reveal the existence of a negative magnetoresistance related to its ferromagnetic state (TC âˆ¼ 90â€‚K). The maximum effect is observed at 20 K reaching âˆ’30% in 9 T. The structural study of this ceramic reveals a V/Pb ratio smaller than expected from the formula. This is explained by the presence of numerous stacking faults observed by high resolution transmission electron microscopy. The existence of these planar defects acting as resistive barriers along the c axis could be responsible for tunneling magnetoresistance.;https://doi.org/10.1063/1.3446892;yes;FAUX;
Ballistic current in metal-oxide-semiconductor field-effect transistors: the role of device topology;In this study we investigate the effect of device topology on the ballistic current in n-channel metal-oxide-semiconductor field-effect transistors. Comparison of the nanoscale planar and double-gate devices reveals that, down to a certain thickness of the double gate film, the ballistic current flowing in the double gate device is twice as large compared to its planar counterpart. On the other hand, further thinning of the film beyond this threshold is found to change noticeably the confinement and transport characteristics, which are strongly depending on the film material and the surface orientation. For double gate Ge and Si devices there exists a critical film thickness below which the transverse gate field is no longer effectively screened by the inversion layer electron gas and mutual inversion of the two gates is turned on. In the case of GaAs and other similar IIIV compounds, a decrease in the film thickness may drastically change the occupation of the L-valleys and therefore amend the transport properties. The simulation results show that, in both cases, the ballistic current and the transconductance are considerably enhanced.;https://doi.org/10.1063/1.3197635;yes;FAUX;
Revealing age-specific past and future unrelated costs of pneumococcal infections by flexible generalized estimating equations;We aimed to study the excess health-care expenditures for persons with a known positive isolate of Streptococcus pneumoniae. The data set was compiled by linking the database of the largest Belgian Sickness Fund with data obtained from laboratories reporting pneumococcal isolates. We analyzed the age-specific per-patient cumulative costs over time, using generalized estimating equations (GEEs). The mean structure was described by fractional polynomials. The quasi-likelihood under the independence model criterion was used to compare different correlation structures. We show for all age groups that the health-care costs incurred by diagnosed pneumococcal patients are significantly larger than those incurred by undiagnosed matched persons. This is not only the case at the time of diagnosis but also long before and after the time of diagnosis. These findings can be informative for the current debate on unrelated costs in health economic evaluation, and GEEs could be used to estimate these costs for other diseases. Finally, these results can be used to inform policy on the expected budget impact of preventing pneumococcal infections.;https://doi.org/10.1080/02664763.2010.515302;yes;VRAI;https://curis.ku.dk/ws/files/41824362/JDEff_2010_IE_and_CC.pdf
Impact evaluation and interventions to address climate change: a scoping study;"Substantial and increasing amounts of funding are available for countries to undertake climate change interventions. This article argues that to ensure effective allocation of these resources, the selection and design of climate change mitigation and adaptation interventions should be based on evidence of what works, what doesn&#39;t work, under what circumstances and at what cost. Currently the evidence base on the impact of climate change interventions is minimal and there is a need for wider application of rigorous impact evaluation (IE) in the field. Climate change interventions have much to learn from experiences in related fields, notably international development and conservation. The paper highlights some of the challenges faced when conducting IEs of climate change interventions and discusses how these can be tackled. Moreover, it discusses some of the key areas of mitigation and adaptation interventions and suggests how IEs could be implemented, using IEs from other policy fields as examples. It argues that despite the limited experience so far there are ample opportunities to conduct IE of climate change interventions. If calls for increasing financing of climate change mitigation and adaptation by hundreds of billions of dollars a year are to remain credible and gain support, evidence of the effectiveness of current spending is essentia";https://doi.org/10.1080/19439341003786729;yes;VRAI;https://hal.archives-ouvertes.fr/hal-00719070/file/PEER_stage2_10.1080%252F19440049.2011.584069.pdf
Angular confinement and direction-dependent transmission in graphene nanostructures with magnetic barriers;We evaluate the transmission through magnetic barriers in graphene-based nanostructures. Several particular cases are considered: a magnetic step, single and double barriers, delta -function barriers as well as barrier structures with inhomogeneous magnetic field profiles but with average magnetic field equal to zero. The transmission exhibits a strong dependence on the direction of the incident wave vector. In general the resonant structure of the transmission is significantly more pronounced for (Dirac) electrons with linear spectrum compared to that for electrons with a parabolic one.;https://doi.org/10.1063/1.3295453;yes;VRAI;http://feb.kuleuven.be/drc/licos/publications/dp/DP%20365%20Complete.pdf
Phonon band structures of Si nanowires;We present full ab initio calculations of the phonon band structure of thin Si nanowires oriented along the [110] direction. Using these phonon dispersion relations we investigate the structural stability of these wires. We found that all studied wires were stable also when doped with either B or P, if the unit cell was taken sufficiently large along the wire axis. The evolution of the phonon dispersion relations and of the sound velocities with respect to the wire diameters is discussed. Softening is observed for acoustic modes and hardening for optical phonon modes with increasing wire diameters.;https://doi.org/10.1063/1.3295432;yes;VRAI;
Designing a decision support model for the LNG market;This article aims to improve understanding of the gas shipping markets which, contrary to the main merchant markets namely the dry, the tanker and the container markets have not been subject to the same scrutiny. We examine the fundamentals and segment these versatile markets in which expanding gas production and the drive towards liberalization are affecting market conditions. The analysis shows that the industrial LNG, LPG, ammonia and petrochemical markets are slowly transforming to a competitive setting with an increasing number of private buyers and sellers rendering the market more efficient. The gas asset markets are still too small in size and illiquid so that entry and exit through the second-hand market remains difficult.;https://doi.org/10.1080/03081060.2010.527183;yes;FAUX;
A study of a positive fragment of path queries: expressiveness, normal form, and minimization;"We study the expressiveness of a positive fragment of path queries, denoted Path$\mathstrut&#43;$, on node-labeled trees documents. The expressiveness of Path$\mathstrut&#43;$ is studied from two angles. First, we establish that Path$\mathstrut&#43;$ is equivalent in expressive power to a particular sub-fragment as well as to the class of tree queries, a sub-class of the first-order conjunctive queries defined over label, parent-child, and child-parent predicates. The translation algorithm from tree queries to Path$\mathstrut&#43;$ yields a normal form for Path$\mathstrut&#43;$ queries. Using this normal form, we can decompose a Path$\mathstrut&#43;$ query into sub-queries that can be expressed in a very small sub-fragment of Path$\mathstrut&#43;$ for which efficient evaluation strategies are available. Second, we characterize the expressiveness of Path$\mathstrut&#43;$ in terms of its ability to resolve nodes in a document. This result is used to show that each tree query can be translated to a unique, equivalent, and minimal tree query. The combination of these results yields an effective strategy to evaluate a large class of path queries on documents.";https://doi.org/10.1007/978-3-642-02843-4_14;yes;FAUX;
New challenges for urban social work and urban social work research;Most European cities have been, and still are, faced with a strong increase of inhabitants with other ethnic backgrounds. Globalization has increased the processes of migration during the last three decades, especially to urban areas. These processes are changing cities and their social landscape profoundly, not least because many migrants are being confronted with structural social exclusion. Consequently this evolution becomes one of the most important challenges for urban social work. One of the targets of social work research in an urban context in Europe is the need to interculturalize the way social work operates. In this article I explore how this increasing ethnic diversity is becoming one of the main challenges for urban social work. Specific methodologies are required to reach empowerment objectives with the diversity of citizens in urban contexts. Reflecting on a selection of cases, the article explores theoretical and methodological challenges for urban social work research.;https://doi.org/10.1080/13691457.2010.516621;yes;FAUX;
Evaluation as learning;The current contribution focuses on evaluation research as a process of learning and development for practice, by looking at conditions of collaboration between practice and research in two examples. We exemplify that learning from evaluation in complex programme settings is related to the nature of the collaboration between social work agencies and researchers. Findings are based on two similar cases of evaluation research for interagency collaboration in Germany and Slovenia. Results show that a symbiotic collaboration between research and practice enhances the learning and development potential for practice, but also that the balance between organizing the collaboration process and leaving room for experimental and ad hoc decisions needs to be guarded. Both advantages and disadvantages of planning and stability need to be taken into account when doing practitioner evaluation research.;https://doi.org/10.1080/13691457.2010.520411;yes;VRAI;https://biblio.ugent.be/publication/419133/file/448402.pdf
Modularity in enterprise architecture projects;Contemporary organizations are operating in increasingly volatile environments and must be able to respond quickly to changes in their environment. Enterprise Engineering aims to design agile organizations by applying theories from other elds. A theory from system sciences that receives much attention in this regard is modularity. In this paper, we apply a traditional modularity approach to a real-life case study. The subject of this case study is an enterprise architecture project in an e-government context. Our analysis shows that modularity can provide a relevant perspective in such projects. Moreover, it provides insights concerning the usage of enterprise architecture frameworks. However, due to the dierent nature of organizations, additional research is required to precisely understand the application of organizational modularity.;https://doi.org/10.1007/978-3-642-21058-7;yes;VRAI;https://www.pure.ed.ac.uk/ws/files/17663885/Bravo_Fan_ET_AL_2008_Increasing_the_Expressivity_of_Conditional_Functional_Dependecies_without_Extra_Complexity.pdf
A maximum likelihood estimation method for denoising magnitude MRI using restricted local neighborhood;n this paper, we propose a method to denoise magnitude Magnetic Resonance (MR) images based on the maximum likelihood (ML) estimation method using a restricted local neighborhood. Conventionally, methods that estimate the true, underlying signal from a local neighborhood assume this signal to be constant within that neighborhood. However, this assumption is not always valid and, as a result, the edges in the image will be blurred and fine structures will be destroyed. As a solution to this problem, we put forward the concept of using a restricted local neighborhood where the true intensity for each noisy pixel is estimated from a set of selected neighboring pixels. To this end, a reference image is created from the noisy image using a recently proposed non local means algorithm. This reference image is used as a prior for further noise reduction. A scheme is developed to locally select an appropriate subset of pixels from which the underlying signal is estimated. Experimental results based on Peak Signal to Noise Ratio (PSNR), Structural Similarity Index Matrix (SSIM) and Bhattacharrya coefficient from synthetic and real MRI demonstrate the superior performance of the proposed method over other state of the art methods.;https://doi.org/10.1117/12.877850;yes;VRAI;https://www.pure.ed.ac.uk/ws/files/17887344/Fan_Geerts_ET_AL_2009_Discovering_Conditional_Functional_Dependencies.pdf
The labour market consequences of globalisation and regionalisation;Purpose This paper aims to introduce the subject of the impact of globalization and regionalization on the labour markets. The papers of the special issue are placed within this subject. Design/methodology/approach Although the subject is not treated exhaustively, the papers presented are new contributions dealing with labour market institutions, efficiency wages, employment effects of outward foreign direct investment, immigration patterns, and regional social and labour policies. These diverse issues are dealt with in their relation with increasing globalization in developed economies. Findings The major conclusions of the papers in the special issue are put into the perspective of the state of the art of the research on the social impact of globalization, particularly the labour market consequences. Originality/value A more comprehensive analysis of globalisation, which takes into account the complementarity of the different channels through which its effects on labour markets are transmitted, becomes more and more necessary. The papers of the special issue attempt to look into a number of these channels and to some extent into their complementarity.;https://doi.org/10.1108/01437721111136741;yes;FAUX;
Exchange energy density definitions from the optimized exchange-force, exemplified for non-relativistic Ne- and Ar-like atomic ions in the limit of large nuclear charge;"An alternative exchange energy density (eed) in DFT is first proposed, depending on the optimized exchange force (OEF). It is evaluated using a numerical form of OEF for the non-relativistic Ne-like atomic ion series for atomic number Z &#61; 92. Comparison is made with the Dirac form of eed available analytically. Related results are also presented for Ar-like atomic ions.";https://doi.org/10.1007/s10910-010-9741-z;yes;FAUX;
Potential of an **in vitro** toolbox combined with exposure data as a first step for the risk assessment of dietary chemical contaminants;In vitro risk assessment of dietary contaminants has become a priority in human food safety. This paper proposes an in vitro approach associating different complementary tools in an original toolbox and aims to improve the assessment of the toxicological impact of dietary contaminants at realistic human exposure levels, with a special focus on the intestinal compartment. The system is based on the use of four complementary cellular tools, namely stress gene induction in transgenic strains of Escherichia coli, modulation of the activity of key biotransformation enzymes (cytochrome P-450 (CYP) 1A1 and 3A4) in a human intestinal cell line, and activation of aryl hydrocarbon receptor (AhR) and oestrogenic receptor (ER)-dependent genes in agonistic and antagonistic assays with luciferase reporter cells. It was applied to four chosen model molecules: ochratoxin A (OTA) and deoxynivalenol (DON), two common food-borne mycotoxins, and imazalil (IMA) and benomyl (BEN), two fungicides widely occurring in foodstuffs. All these assays were performed at or around a realistic intestinal concentration, determined through a deterministic approach based on the calculation of a theoretical maximum daily intake (TMDI). Using the four model molecules, it is clearly highlighted that induction of CYP1A1 activity and inhibition of CYP3A4 activity occurred in Caco-2 cells at a realistic intestinal concentration of IMA. Furthermore, some bacterial stress genes were induced in a range of realistic concentrations, following exposure to DON and IMA. In addition, BEN clearly provoked an ER agonistic activity in a human oestrogen sensitive reporter cell line. All these results are in accordance with the literature, suggesting that the in vitro toolbox constitutes an interesting approach in order to obtain a first fingerprint of dietary contaminants at realistic human exposure for further risk assessment.;https://doi.org/10.1080/19440049.2011.584069;yes;VRAI;https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2664.12643
Participatory planning for project sustainability of environmental education projects;Within the first year of the Secondary Teacher Training Environmental Education Project (St2eep) in Zimbabwe, project stakeholders, including lecturers, college administrators, local project coordinators, and donor representatives, expressed concern about the nonâ€sustainability of the project due to its overâ€reliance on its international donor. In response to this challenge, a process of critical selfâ€reflection through selfâ€assessment workshops was started to give an opportunity for key project stakeholders to explore the challenge of project sustainability. Applying the principles of expansive learning theory to St2eeps reflection processes, this paper shows how the contradictions that emerge from the interaction between different project stakeholders can be powerful sources for learning. This has resulted in new forms of activity to address the challenge of project sustainability in St2eep. The insights of this paper may be useful for other donorâ€funded environmental education projects that are confronted with the challenge of project sustainability.;https://doi.org/10.1080/13504622.2011.557498;yes;VRAI;https://mpra.ub.uni-muenchen.de/47151/1/MPRA_paper_47151.pdf
Polynomial invariants for general higher spin Dirac operators;"We extend our previous results on spaces of polynomial invariants for Rarita-Schwinger operators acting on representations [openface S]k with highest weight (k&#43;(1/2),(1/2),(1/2)) to a more general setting. This setting may be seen as a toy model for the study of Higher Spin Dirac operators on general representations with half-integral highest weights, and already hints at an essential difference of the structure of the space of invariant differential operators on [openface S]k and on a general representation.";https://doi.org/10.1063/1.3498060;yes;VRAI;https://repository.uantwerpen.be/docman/irua/77aee7/134388_2018_07_01.pdf
Inelastic electron tunneling spectroscopy of $HfO_{2}$ gate stacks;A first-principles modeling approach is used to investigate the vibrational properties of HfO2. The calculated phonon density of states is compared to experimental results obtained from inelastic electron tunneling spectroscopy (IETS) of various metal-oxide-semiconductor devices with HfO2 gate stacks. This comparison provides deep insights into the nature of the signatures of the complicated IETS spectra and provides valuable structural information about the gate stack, such as the possible presence of oxygen vacancies in jet-vapour deposited HfO2. Important structural differences between the interface of atomic-layer or molecular-beam deposited HfO2 and the Si substrate are also revealed.;https://doi.org/10.1063/1.3644158;yes;FAUX;
Youth development and training after the Bosman Verdict (1995) and the Bernard Case (2010) of the European Court of Justice;"In this paper we propose a way out of the problem, created by the Bosman verdict, and the more recent Bernard case, of the European Court of Justice, which found itself caught between the European competition laws, on the one hand, and the need to develop and train young talent, on the other hand. The creation of a youth training fund, compensating clubs for their training costs in any case, that is: if the player moves to another team or stays with his training team. KEYWORDS: Youth training costs; training compensation; competition laws; European Court; Bosman verdict; Bernard case; Youth Fund; free player mobility";https://doi.org/10.1080/16184742.2011.624111;yes;FAUX;
Space charge limited electron emission from a Cu surface under ultrashort pulsed laser irradiation;In this theoretical study, the electron emission from a copper surface under ultrashort pulsed laser irradiation is investigated using a one dimensional particle in cell model. Thermionic emission as well as multi-photon photoelectron emission were taken into account. The emitted electrons create a negative space charge above the target, consequently the generated electric field reduces the electron emission by several orders of magnitude. The simulations indicate that the space charge effect should be considered when investigating electron emission related phenomena in materials under ultrashort pulsed laser irradiation of metals.the word abstract, but do replace the rest of this text. Â©2010 American Institute of Physics;https://doi.org/10.1063/1.3507129;yes;FAUX;
Three-dimensional glenohumeral arthrokinematics related to internal impingement in throwing athletes;"The aim of this study was to undertake a comparative arthrokinematic evaluation of the shoulder of throwers with internal impingement. The participants were six throwing athletes with internal impingement type I. The intra-articular position of the humeral head on the glenoid in the apprehension test pose was evaluated using three-dimensional reconstructions obtained on medical images. Glenohumeral internal rotation deficit, external rotation gain, and the difference in posterior shoulder tightness were assessed goniometrically. No abnormal translation behaviour of the humeral head on the glenoid could be demonstrated, with a posterior positioning of the humeral head in relation to the centre of the glenoid of -6.6Â±0.9 mm and a superior positioning of &#43;2.3Â±1.5 mm, despite the presence of a glenohumeral internal rotation deficit between the throwing shoulder and the contralateral shoulder of -26.3Â±7.2Â° and a difference in posterior shoulder tightness of -6.7Â±2.9 cm. In conclusion, the results do not support the biomechanically based hypotheses relating internal impingement at the end of the late preparatory phase of throwing with an increased posterior-superior or anterior-inferior glenohumeral translation. Instead, the results favour a physiological cause of symptomatic internal impingement.";https://doi.org/10.1080/17461391003770509;yes;FAUX;
"Walter Benjamin&#39;s dialectics of attentiveness";"Walter Benjamin&#39;s literary, phenomenological, and analytical reflections on the concept of attentiveness reveal how distinctly his critical thinking was attuned to new forms of perception that arose from the cultural and aesthetic transformations taking place in the early twentieth century. Challenging existing distinctions between different modes of attentiveness-mainly absorption and concentration-he explores a radical form of attentiveness that enlists unexpected components, such as distraction or the power of habit. Tracing the development of a critical approach to the concept from the early to the late works, this article provides insights into Benjamin&#39;s alternative idea of attentiveness, one that emerges from a dialectics of opposites and is aligned with a &#39;physical presence of mind&#39; (&#39;leibhaftige Geistesgegenwart&#39;).";https://doi.org/10.1080/00397709.2011.552847;yes;VRAI;https://dl.acm.org/doi/pdf/10.1145/1376916.1376949
Branch current behavior at two level anti-crossings in vertical quantum dot single-particle spectra;We study single-electron-elastic-resonant-tunneling through two weakly coupled vertical quantum dots and investigate the branch current behavior at anti-crossings between two single-particle energy levels in the constituent dot spectra that are induced to approach each other by application of an out-of-dot-plane magnetic field. We observe both the familiar case of monotonic transfer of the resonant current strengths between the two branches as well as the less familiar case of concurrent enhancement and suppression (ideally complete cancellation) of the resonant current in the two branches. These two situations can be explained in terms of a simple coherent tunneling model. Â©2009 American Institute of Physics;https://doi.org/10.1063/1.3295404;yes;FAUX;
Relative information completeness;"The paper investigates the question of whether a partially closed database has complete information to answer a query. In practice an enterprise often maintains master data Dm, a closed-world database. We say that a database D is partially closed if it satisfies a set V of containment constraints of the form &#34;q(D) is a subset of p(Dm)&#34;, where q is a query in a language Lc and p is a projection query. The part of D not constrained by (Dm,V) is open, from which some tuples may be missing. The database D is said to be complete for a query Q relative to (Dm,V) if for all partially closed extensions D&#39; of D, Q(D&#39;)&#61;Q(D), i.e., adding tuples to D either violates some constraints in V or does not change the answer to Q. We first show that the proposed model can also capture the consistency of data, in addition to its relative completeness. Indeed, integrity constraints studied for consistency can be expressed as containment constraints. We then study two problems. One is to decide, given Dm, V, a query Q in a language Lq and a partially closed database D, whether D is complete for Q relative to (Dm,V). The other is to determine, given Dm, V and Q, whether there exists a partially closed database that is complete for Q relative to (Dm,V). We establish matching lower and upper bounds on these problems for a variety of languages Lq and Lc. We also provide characterizations for a database to be relatively complete, and for a query to allow a relatively complete database, when Lq and Lc are conjunctive queries.";https://doi.org/10.1145/1559795.1559811;yes;VRAI;https://dl.acm.org/doi/pdf/10.1145/1559795.1559811
Algebraic structures for capturing the provenance of SPARQL queries;We show that the evaluation of SPARQL algebra queries on various notions of annotated RDF graphs can be seen as particular cases of the evaluation of these queries on RDF graphs annotated with elements of so-called spm-semirings. Spm-semirings extend semirings, used for positive relational algebra queries on annotated relational data, with a new operator to capture the semantics of the non-monotone SPARQL operator OPTIONAL. Furthermore, spm-semiring-based annotations ensure that desired SPARQL query equivalences hold when querying annotated RDF. In addition to introducing spm-semirings, we study their properties and provide an alternative characterization of these structures in terms of semirings with an embedded boolean algebra (or seba-structure for short). This characterization allows to construct spm-semirings and to identify a universal object in the class of spm-semirings. Finally, we show that this universal object provides a concise provenance representation and can be used to evaluate SPARQL queries on arbitrary spm-semiring-annotated RDF graphs.;https://doi.org/10.1145/2448496.2448516;yes;FAUX;
On the influence of maintenance activity types on the issue resolution time;"The ISO/IEC 14764 standard specifies four types of software maintenance activities spanning the different motivations that software engineers have while performing changes to an existing software system. Undoubtedly, this classification has helped in organizing the workflow within software projects, however for planning purposes the relative time differences for the respective tasks remains largely unexplored. In this empirical study, we investigate the influence of the maintenance type on issue resolution time. From GitHub&#39;s issue repository, we analyze more than 14000 issue reports taken from 34 open source projects and classify them as corrective, adaptive, perfective or preventive maintenance. Based on this data, we show that the issue resolution time depends on the maintenance type. Moreover, we propose a statistical model to describe the distribution of the issue resolution time for each type of maintenance activity. Finally, we demonstrate the usefulness of this model for scheduling the maintenance workload.";https://doi.org/10.1145/2639490.2639506;yes;VRAI;https://dl.acm.org/doi/pdf/10.1145/2901737
Determining the currency of data;Data in real-life databases become obsolete rapidly. One often finds that multiple values of the same entity reside in a database. While all of these values were once correct, most of them may have become stale and inaccurate. Worse still, the values often do not carry reliable timestamps. With this comes the need for studying data currency, to identify the current value of an entity in a database and to answer queries with the current values, in the absence of timestamps. This paper investigates the currency of data. (1) We propose a model that specifies partial currency orders in terms of simple constraints. The model also allows us to express what values are copied from other data sources, bearing currency orders in those sources, in terms of copy functions defined on correlated attributes. (2) We study fundamental problems for data currency, to determine whether a specification is consistent, whether a value is more current than another, and whether a query answer is certain no matter how partial currency orders are completed. (3) Moreover, we identify several problems associated with copy functions, to decide whether a copy function imports sufficient current data to answer a query, whether such a function copies redundant data, whether a copy function can be extended to import necessary current data for a query while respecting the constraints, and whether it suffices to copy data of a bounded size. (4) We establish upper and lower bounds of these problems, all matching, for combined complexity and data complexity, and for a variety of query languages. We also identify special cases that warrant lower complexity.;https://doi.org/10.1145/1989284.1989295;yes;VRAI;https://documentserver.uhasselt.be//bitstream/1942/11703/1/p30-antonopoulos.pdf
